"","MFW","accuracy","precision","recall","F1"
"1",50,0.819148936170213,0.836580086580087,0.811363636363636,0.803967749422295
"2",100,0.840425531914894,0.865800865800866,0.834848484848485,0.834809130263676
"3",150,0.829787234042553,0.837337662337662,0.818181818181818,0.812625758080303
"4",200,0.872340425531915,0.891233766233766,0.868939393939394,0.861756677665769
"5",250,0.872340425531915,0.889718614718615,0.866666666666667,0.853767696949515
"6",300,0.851063829787234,0.866883116883117,0.848484848484849,0.832450630177903
"7",350,0.829787234042553,0.859469696969697,0.83030303030303,0.814074309528855
"8",400,0.797872340425532,0.814772727272727,0.792424242424242,0.770767868495141
"9",450,0.776595744680851,0.783585858585859,0.774242424242424,0.754634002361275
"10",500,0.787234042553192,0.784036796536796,0.789393939393939,0.762220859948133
"11",550,0.765957446808511,0.766919191919192,0.762878787878788,0.735261707988981
"12",600,0.75531914893617,0.71790305653942,0.741666666666667,0.710279337418375
"13",650,0.74468085106383,0.725929752066116,0.726515151515152,0.703916003782314
"14",700,0.765957446808511,0.779491341991342,0.753030303030303,0.736227156681702
"15",750,0.734042553191489,0.766379453879454,0.715151515151515,0.70649675948719
"16",800,0.74468085106383,0.756585081585082,0.73030303030303,0.722735823453527
"17",850,0.75531914893617,0.759090909090909,0.743181818181818,0.731260406260406
"18",900,0.734042553191489,0.752651515151515,0.718939393939394,0.710943854125672
"19",950,0.723404255319149,0.745139708776072,0.709848484848485,0.701605561699145
"20",1000,0.702127659574468,0.766208791208791,0.689393939393939,0.690187548792953
