"","MFW","accuracy","precision","recall","F1"
"1",50,0.797872340425532,0.736616161616162,0.787121212121212,0.751941492850584
"2",100,0.797872340425532,0.819083694083694,0.770454545454546,0.758441558441558
"3",150,0.787234042553192,0.832782369146005,0.768939393939394,0.762549193231011
"4",200,0.819148936170213,0.851839826839827,0.814393939393939,0.80420387693115
"5",250,0.829787234042553,0.875964187327824,0.821969696969697,0.815349927849928
"6",300,0.861702127659574,0.882828282828283,0.856060606060606,0.848970221697494
"7",350,0.851063829787234,0.893759018759019,0.843181818181818,0.834542982270255
"8",400,0.819148936170213,0.832828282828283,0.80530303030303,0.792332415059688
"9",450,0.851063829787234,0.88953823953824,0.846969696969697,0.842157589884863
"10",500,0.840425531914894,0.88466810966811,0.831818181818182,0.825524223251496
"11",550,0.819148936170213,0.830122655122655,0.80530303030303,0.792190889918163
"12",600,0.787234042553192,0.806222943722944,0.771212121212121,0.760909545000454
"13",650,0.787234042553192,0.802435064935065,0.763636363636364,0.752900886991796
"14",700,0.765957446808511,0.798160173160173,0.746969696969697,0.737131050767414
"15",750,0.776595744680851,0.810227272727273,0.762121212121212,0.752480852480853
"16",800,0.75531914893617,0.793349075167257,0.741666666666667,0.732985701167519
"17",850,0.734042553191489,0.788898601398601,0.718939393939394,0.718989581422737
"18",900,0.723404255319149,0.800821526957891,0.711363636363636,0.717627797039562
"19",950,0.734042553191489,0.800821526957891,0.718939393939394,0.722586474725512
"20",1000,0.712765957446808,0.811427587563951,0.703787878787879,0.714597494009259
