"","MFW","accuracy","precision","recall","F1"
"1",50,0.787234042553192,0.763095238095238,0.777272727272727,0.760530126439217
"2",100,0.819148936170213,0.818506493506494,0.814393939393939,0.810805608532881
"3",150,0.861702127659574,0.871753246753247,0.861363636363636,0.861937052846144
"4",200,0.861702127659574,0.867748917748918,0.857575757575758,0.85798519662156
"5",250,0.872340425531915,0.882142857142857,0.865151515151515,0.863504677141041
"6",300,0.872340425531915,0.880194805194805,0.865151515151515,0.861080586080586
"7",350,0.882978723404255,0.89004329004329,0.876515151515151,0.873237873237873
"8",400,0.851063829787234,0.848484848484849,0.838636363636364,0.833621933621934
"9",450,0.819148936170213,0.835606060606061,0.810606060606061,0.804617604617605
"10",500,0.829787234042553,0.807142857142857,0.829545454545455,0.808749331476604
"11",550,0.840425531914894,0.822510822510823,0.840909090909091,0.817276158185249
"12",600,0.840425531914894,0.863419913419913,0.837121212121212,0.826258842167933
"13",650,0.819148936170213,0.857792207792208,0.814393939393939,0.809600500509591
"14",700,0.797872340425532,0.837337662337662,0.793939393939394,0.78308534899444
"15",750,0.819148936170213,0.855627705627706,0.818939393939394,0.80295436886346
"16",800,0.840425531914894,0.867748917748918,0.839393939393939,0.834520025429116
"17",850,0.808510638297872,0.853787878787879,0.801515151515152,0.794874065328611
"18",900,0.808510638297872,0.853246753246753,0.801515151515152,0.790325331234422
"19",950,0.787234042553192,0.778246753246753,0.781060606060606,0.755814639905549
"20",1000,0.74468085106383,0.740702479338843,0.73030303030303,0.710240487379525
