"","MFW","accuracy","precision","recall","F1"
"1",50,0.776595744680851,0.78202479338843,0.768181818181818,0.747751869342778
"2",100,0.75531914893617,0.733928571428571,0.737121212121212,0.700926598653871
"3",150,0.776595744680851,0.7625,0.761363636363636,0.733069455796729
"4",200,0.787234042553192,0.79040404040404,0.772727272727273,0.748192968647514
"5",250,0.808510638297872,0.831637806637807,0.799242424242424,0.781889827344373
"6",300,0.829787234042553,0.852867965367965,0.825757575757576,0.811643659370932
"7",350,0.840425531914894,0.838906926406926,0.829545454545455,0.808987729442275
"8",400,0.840425531914894,0.858441558441558,0.833333333333333,0.821319841774387
"9",450,0.829787234042553,0.855898268398268,0.824242424242424,0.812706233160779
"10",500,0.829787234042553,0.840800865800866,0.824242424242424,0.803279548734094
"11",550,0.819148936170213,0.823701298701299,0.809090909090909,0.787465060192333
"12",600,0.808510638297872,0.822619047619048,0.797727272727273,0.780335825790371
"13",650,0.797872340425532,0.811038961038961,0.786363636363636,0.766168175259084
"14",700,0.75531914893617,0.799134199134199,0.746969696969697,0.728272989636626
"15",750,0.776595744680851,0.794047619047619,0.765909090909091,0.742283221828676
"16",800,0.765957446808511,0.793181818181818,0.756818181818182,0.730722812540994
"17",850,0.765957446808511,0.775757575757576,0.753030303030303,0.722435645162918
"18",900,0.734042553191489,0.798106060606061,0.721212121212121,0.710169123805487
"19",950,0.765957446808511,0.795707070707071,0.756818181818182,0.735924176833268
"20",1000,0.734042553191489,0.755844155844156,0.718939393939394,0.706955922865014
